game_id,start_time,status,home_team,away_team,home_score,away_score,home_money_line,away_money_line,home_spread,away_spread,home_spread_odds,away_spread_odds,total_score,over_odds,under_odds,date_scraped,id,sport_key,commence_time,bookmakers
280952,2026-01-12T17:30:00.000Z,scheduled,Genoa,Cagliari,,,-230.0,165.0,-0.5,0.5,105.0,-145.0,1.5,-200.0,155.0,2026-01-12 10:36:46.951712,,,,
281079,2026-01-13T19:30:00.000Z,scheduled,Hamburger SV,Bayer Leverkusen,,,145.0,-200.0,0.5,-0.5,-135.0,-110.0,2.5,-156.0,120.0,2026-01-12 10:36:46.951712,,,,
281126,2026-01-14T17:30:00.000Z,scheduled,SSC Napoli,Parma Calcio 1913,,,-1200.0,640.0,-1.5,1.5,-105.0,-135.0,2.5,-115.0,-111.0,2026-01-12 10:36:46.951712,,,,
281259,2026-01-15T19:45:00.000Z,scheduled,Como,AC Milan,,,105.0,-135.0,0.5,-0.5,-200.0,138.0,2.5,100.0,-135.0,2026-01-12 10:36:46.951712,,,,
281082,2026-01-15T19:30:00.000Z,scheduled,Augsburg,Union Berlin,,,-127.0,-105.0,-0.5,0.5,135.0,-200.0,2.5,120.0,-160.0,2026-01-12 10:36:46.951712,,,,
281086,2026-01-13T19:30:00.000Z,scheduled,Mainz 05,FC Heidenheim,,,-450.0,300.0,-0.5,1.0,-165.0,110.0,2.5,-115.0,-111.0,2026-01-12 10:36:46.951712,,,,
281087,2026-01-13T19:30:00.000Z,scheduled,Borussia Dortmund,Werder Bremen,,,-833.0,480.0,-1.5,1.5,-115.0,-120.0,3.5,108.0,-140.0,2026-01-12 10:36:46.951712,,,,
281084,2026-01-13T17:30:00.000Z,scheduled,VfB Stuttgart,Eintracht Frankfurt,,,-285.0,205.0,-0.5,0.5,-135.0,-110.0,2.5,-176.0,140.0,2026-01-12 10:36:46.951712,,,,
281258,2026-01-15T17:30:00.000Z,scheduled,Hellas Verona,Bologna,,,150.0,-205.0,0.5,-0.5,-145.0,100.0,2.5,120.0,-164.0,2026-01-12 10:36:46.951712,,,,
281080,2026-01-14T19:30:00.000Z,scheduled,FC Koeln,Bayern Munich,,,620.0,-1200.0,1.5,-1.5,110.0,-155.0,3.5,-150.0,115.0,2026-01-12 10:36:46.951712,,,,
281081,2026-01-14T19:30:00.000Z,scheduled,Hoffenheim,Borussia Moenchengladbach,,,-270.0,185.0,-0.5,0.5,-125.0,-110.0,2.5,-175.0,130.0,2026-01-12 10:36:46.951712,,,,
280922,2026-01-12T20:00:00.000Z,scheduled,Sevilla,Celta Vigo,,,-135.0,105.0,-0.5,0.5,145.0,-210.0,2.5,120.0,-160.0,2026-01-12 10:36:46.951712,,,,
280953,2026-01-12T19:45:00.000Z,scheduled,Juventus,Cremonese,,,-1800.0,800.0,-1.5,1.5,-143.0,-105.0,2.5,-158.0,120.0,2026-01-12 10:36:46.951712,,,,
281083,2026-01-14T17:30:00.000Z,scheduled,Wolfsburg,St. Pauli,,,-272.0,185.0,-0.5,0.5,-125.0,-115.0,2.5,-125.0,-105.0,2026-01-12 10:36:46.951712,,,,
281085,2026-01-14T19:30:00.000Z,scheduled,RB Leipzig,Freiburg,,,-313.0,233.0,-0.5,0.5,-145.0,110.0,2.5,-172.0,134.0,2026-01-12 10:36:46.951712,,,,
281127,2026-01-14T19:45:00.000Z,scheduled,Inter,Lecce,,,-5000.0,1287.0,-2.5,2.5,120.0,-165.0,3.5,127.0,-172.0,2026-01-12 10:36:46.951712,,,,
281126,,scheduled,SSC Napoli,Parma Calcio 1913,,,-1200.0,640.0,-1.5,1.5,-105.0,-135.0,2.5,-114.0,-111.0,2026-01-13 13:13:29.959027,281126.0,soccer,2026-01-14T17:30:00.000Z,"[{'key': 'actionnetwork', 'title': 'Action Network (Consensus)', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'SSC Napoli', 'price': -1200}, {'name': 'Parma Calcio 1913', 'price': 640}]}, {'key': 'spreads', 'outcomes': [{'name': 'SSC Napoli', 'price': -105, 'point': -1.5}, {'name': 'Parma Calcio 1913', 'price': -135, 'point': 1.5}]}]}]"
281331,,scheduled,Paris Saint-Germain,Lille,,,-625.0,400.0,-1.5,1.5,105.0,-150.0,3.5,125.0,-167.0,2026-01-13 13:13:29.959027,281331.0,soccer,2026-01-16T20:00:00.000Z,"[{'key': 'actionnetwork', 'title': 'Action Network (Consensus)', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Paris Saint-Germain', 'price': -625}, {'name': 'Lille', 'price': 400}]}, {'key': 'spreads', 'outcomes': [{'name': 'Paris Saint-Germain', 'price': 105, 'point': -1.5}, {'name': 'Lille', 'price': -150, 'point': 1.5}]}]}]"
281085,,scheduled,RB Leipzig,Freiburg,,,,,-0.75,0.75,-107.0,-113.0,3.0,-107.0,-113.0,2026-01-13 13:13:29.959027,281085.0,soccer,2026-01-14T19:30:00.000Z,"[{'key': 'actionnetwork', 'title': 'Action Network (Consensus)', 'markets': [{'key': 'spreads', 'outcomes': [{'name': 'RB Leipzig', 'price': -107, 'point': -0.75}, {'name': 'Freiburg', 'price': -113, 'point': 0.75}]}]}]"
