Type,Details,Product,Date,Before,Change,Balance
Bonus,Automated expiry,Sportsbook,"Jan 12, 2026, 12:17am ET",0,-1,-1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00481262973),Sportsbook,"Jan 11, 2026, 7:58pm ET",$515.21,-$10.00,$505.21
Bonus,Automated expiry,Sportsbook,"Jan 11, 2026, 4:30pm ET",1,-1,0
Bonus,Sports Profit Boost Token awarded: 10NFLBBPB0111,Sportsbook,"Jan 11, 2026, 4:28pm ET",1,1,2
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00481054315) (2 of 2),Sportsbook,"Jan 11, 2026, 4:28pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00481054315) (1 of 2),Sportsbook,"Jan 11, 2026, 4:28pm ET",$525.21,-$10.00,$515.21
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000221),Sportsbook,"Jan 11, 2026, 4:07pm ET",$502.01,#ERROR!,$525.21
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000220),Sportsbook,"Jan 11, 2026, 4:02pm ET",$470.76,#ERROR!,$502.01
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00480953141),Sportsbook,"Jan 11, 2026, 3:27pm ET",$480.76,-$10.00,$470.76
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00480799379) (2 of 2),Sportsbook,"Jan 11, 2026, 12:49pm ET",3,-1,2
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00480799379) (1 of 2),Sportsbook,"Jan 11, 2026, 12:49pm ET",$490.76,-$10.00,$480.76
Bonus,Sports Profit Boost Token awarded: 10NFLPORS0111,Sportsbook,"Jan 11, 2026, 10:33am ET",2,1,3
Bonus,Sports Profit Boost Token awarded: 10NFLPORS0111,Sportsbook,"Jan 11, 2026, 10:33am ET",1,1,2
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000218),Sportsbook,"Jan 10, 2026, 10:54pm ET",$460.72,#ERROR!,$490.76
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00480061667) (2 of 2),Sportsbook,"Jan 10, 2026, 2:30pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00480061667) (1 of 2),Sportsbook,"Jan 10, 2026, 2:30pm ET",$470.72,-$10.00,$460.72
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00480058398) (2 of 2),Sportsbook,"Jan 10, 2026, 2:25pm ET",3,-1,2
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00480058398) (1 of 2),Sportsbook,"Jan 10, 2026, 2:25pm ET",$480.72,-$10.00,$470.72
Bonus,Sports Profit Boost Token awarded: 10NFLPORS0107,Sportsbook,"Jan 10, 2026, 1:04pm ET",2,1,3
Bonus,Sports Profit Boost Token awarded: 10NFLPORS0107,Sportsbook,"Jan 10, 2026, 1:04pm ET",1,1,2
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000217),Sportsbook,"Jan 9, 2026, 11:17pm ET",$452.41,#ERROR!,$480.72
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00479682181) (2 of 2),Sportsbook,"Jan 9, 2026, 7:36pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00479682181) (1 of 2),Sportsbook,"Jan 9, 2026, 7:36pm ET",$462.41,-$10.00,$452.41
Bonus,Sports Profit Boost Token awarded: 10FBCFBPBT0109,Sportsbook,"Jan 9, 2026, 6:37pm ET",1,1,2
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000216),Sportsbook,"Jan 8, 2026, 11:42pm ET",$435.04,#ERROR!,$462.41
Type,Details,Product,Date,Before,Change,Balance
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00479302645) (2 of 2),Sportsbook,"Jan 8, 2026, 7:33pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00479302645) (1 of 2),Sportsbook,"Jan 8, 2026, 7:33pm ET",$445.04,-$10.00,$435.04
Bonus,Sports Profit Boost Token awarded: V1CYORNFL0110,Sportsbook,"Jan 8, 2026, 7:12pm ET",1,1,2
Bonus,Sports Profit Boost Token awarded: 10FBCFBPBT0108,Sportsbook,"Jan 8, 2026, 7:10pm ET",0,1,1
